mean_cost,mean_cost_rival,deals,from,to,requests
103197.8,125185.2,95.0,2016-12-05,2016-12-11,
107808.3,111489.7,79.0,2016-12-12,2016-12-18,
92518.58,98027.54,73.0,2016-12-19,2016-12-25,
80068.75,98274.79,59.0,2016-12-26,2017-01-01,
97560.45,128452.0,112.0,2017-01-02,2017-01-08,
93533.1,97903.89,123.0,2017-01-09,2017-01-15,
105465.4,111031.7,121.0,2017-01-16,2017-01-22,
103581.3,109069.9,113.0,2017-01-23,2017-01-29,
82913.93,106719.1,186.0,2017-01-30,2017-02-05,
114749.3,93182.47,109.0,2017-02-06,2017-02-12,
69152.92,89318.94,155.0,2017-02-13,2017-02-19,
76651.25,101019.4,154.0,2017-02-20,2017-02-26,
85033.17,89029.84,139.0,2017-02-27,2017-03-05,
99000.1,95122.07,120.0,2017-03-06,2017-03-12,
107350.8,105820.8,110.0,2017-03-13,2017-03-19,
95263.96,98585.11,121.0,2017-03-20,2017-03-26,8178.0
110204.3,100714.9,99.0,2017-03-27,2017-04-02,7556.0
110548.9,104181.4,78.0,2017-04-03,2017-04-09,5789.0
116078.3,89461.0,75.0,2017-04-10,2017-04-16,6241.0
128062.3,104517.7,76.0,2017-04-17,2017-04-23,6042.0
130148.6,102972.8,55.0,2017-04-24,2017-04-30,4981.0
96543.92,101899.9,60.0,2017-05-01,2017-05-07,3771.0
87305.38,90809.69,60.0,2017-05-08,2017-05-14,3760.0
99806.33,104769.0,53.0,2017-05-15,2017-05-21,3532.0
116965.9,101440.8,49.0,2017-05-22,2017-05-28,3468.0
78996.63,87243.0,61.0,2017-05-29,2017-06-04,4034.0
87086.05,95416.29,55.0,2017-06-05,2017-06-11,3665.0
113281.9,104672.6,44.0,2017-06-12,2017-06-18,3621.0
103519.1,102271.3,58.0,2017-06-19,2017-06-25,3952.0
135438.3,103567.9,55.0,2017-06-26,2017-07-02,4709.0
106349.8,111031.3,83.0,2017-07-03,2017-07-09,5152.0
110644.8,102882.1,72.0,2017-07-10,2017-07-16,5484.0
94664.13,121788.3,100.0,2017-07-17,2017-07-23,5070.0
90980.85,105228.1,82.0,2017-07-24,2017-07-30,5050.0
102545.0,114407.0,91.0,2017-07-31,2017-08-06,5581.0
121821.6,129676.5,105.0,2017-08-07,2017-08-13,6501.0
145647.3,115160.8,75.0,2017-08-14,2017-08-20,6404.0
143754.8,108358.1,76.0,2017-08-21,2017-08-27,6527.0
168935.1,135743.5,94.0,2017-08-28,2017-09-03,7557.0
125785.3,121518.2,105.0,2017-09-04,2017-09-10,7607.0
103407.4,95927.21,125.0,2017-09-11,2017-09-17,9015.0
99600.5,111304.5,140.0,2017-09-18,2017-09-24,8740.0
106651.7,96013.79,,2017-09-25,2017-10-01,9625.0
101673.5,102984.4,,2017-10-02,2017-10-08,10173.0
123099.7,103358.1,,2017-10-09,2017-10-15,12491.0
119102.7,125948.5,,2017-10-16,2017-10-22,10384.0
101896.1,91143.04,,2017-10-23,2017-10-29,10926.0
124413.5,107045.3,,2017-10-30,2017-11-05,11166.0
125538.7,110561.7,,2017-11-06,2017-11-12,11184.0
111693.3,110301.8,,2017-11-13,2017-11-19,11318.0
112086.9,95005.36,,2017-11-20,2017-11-26,9772.0
85283.17,103556.0,,2017-11-27,2017-12-03,9770.0
