from,to,requests
2017-03-20,2017-03-26,8178
2017-03-27,2017-04-02,7556
2017-04-03,2017-04-09,5789
2017-04-10,2017-04-16,6241
2017-04-17,2017-04-23,6042
2017-04-24,2017-04-30,4981
2017-05-01,2017-05-07,3771
2017-05-08,2017-05-14,3760
2017-05-15,2017-05-21,3532
2017-05-22,2017-05-28,3468
2017-05-29,2017-06-04,4034
2017-06-05,2017-06-11,3665
2017-06-12,2017-06-18,3621
2017-06-19,2017-06-25,3952
2017-06-26,2017-07-02,4709
2017-07-03,2017-07-09,5152
2017-07-10,2017-07-16,5484
2017-07-17,2017-07-23,5070
2017-07-24,2017-07-30,5050
2017-07-31,2017-08-06,5581
2017-08-07,2017-08-13,6501
2017-08-14,2017-08-20,6404
2017-08-21,2017-08-27,6527
2017-08-28,2017-09-03,7557
2017-09-04,2017-09-10,7607
2017-09-11,2017-09-17,9015
2017-09-18,2017-09-24,8740
2017-09-25,2017-10-01,9625
2017-10-02,2017-10-08,10173
2017-10-09,2017-10-15,12491
2017-10-16,2017-10-22,10384
2017-10-23,2017-10-29,10926
2017-10-30,2017-11-05,11166
2017-11-06,2017-11-12,11184
2017-11-13,2017-11-19,11318
2017-11-20,2017-11-26,9772
2017-11-27,2017-12-03,9770
